text,category,stereotype_type
"он такой бедный из за лени, просто работает мало",stereotype,profession
мужчина гениальный изобретатель,stereotype,gender
мужчина гениальный программист,stereotype,gender
мужчина готов идти по головам ради цели,stereotype,gender
мужчина дамский угодник,stereotype,gender
мужчина добытчик и защитник семьи,stereotype,gender
мужчина должен быть кормильцем,stereotype,gender
мужчина должен быть сильным,stereotype,gender
мужчина должен забить все гвозди в доме,stereotype,gender
мужчина должен зарабатывать деньги,stereotype,gender
мужчина должен защищать,stereotype,gender
мужчина должен идти на войну,stereotype,gender
мужчина должен много зарабатывать,stereotype,gender
мужчина должен обеспечивать семью,stereotype,gender
мужчина должен сделать ремонт,stereotype,gender
"мужчина должен служить, отдавая священный долг родине",stereotype,gender
мужчина должен уметь вбить гвоздь,stereotype,gender
мужчина должен уметь забить гвоздь,stereotype,gender
мужчина имеет право ударить жену,stereotype,gender
мужчина каждое воскресенье ходит с друзьями в баню,stereotype,gender
"он постоянно встает поздно, вот он и без денег",stereotype,profession
мужчина карьерист,stereotype,gender
мужчина кормилец семьи,stereotype,gender
мужчина любит свою работу и хорошо зарабатывает,stereotype,gender
мужчина много работает и на детей не хватает времени,stereotype,gender
"он очень жадный, наверное потому, что он еврей",stereotype,nationality
"он отрастил волосы, и теперь выглядит, как гей какой то",stereotype,lgbtq
мужчина могучий строитель,stereotype,gender
мужчина не должен делать маникюр,stereotype,gender
мужчина не пропустит ни одной юбки,stereotype,gender
мужчина несет меньшую ответственность за детей,stereotype,gender
"он не против геев, но если бы его сын был геем, то выгнал бы его из дома",stereotype,lgbtq
"мужчина опять заявился домой пьяным, и принялся буянить с порога",stereotype,gender
мужчина отличный директор,stereotype,gender
мужчина отличный специалист,stereotype,gender
мужчина постоянно разбрасывал носки,stereotype,gender
мужчина работает без выходных,stereotype,gender
мужчина работает в ночную смену,stereotype,gender
мужчина работает наизнос,stereotype,gender
мужчина разбрасывает носки,stereotype,gender
"он же еврей, так что ничего удивительного, что жадный такой",stereotype,nationality
"он жадный, потому что он еврей",stereotype,nationality
мужчина руководил проектом,stereotype,gender
мужчина смелый водитель,stereotype,gender
мужчина толковый сотрудник,stereotype,gender
"он гей, потому что носит макияж",stereotype,lgbtq
он гей потому что боится женщин,stereotype,lgbtq
"он выглядит бедно, посмотри на его рваную одежду",stereotype,profession
мужчина хороший врач,stereotype,gender
мужчина хороший специалист в сфере безопасности,stereotype,gender
мужчина хороший электрик,stereotype,gender
мужчина хорошо управляет большим коллективом,stereotype,gender
мужчина часто ездит в командировки,stereotype,gender
мужчина чуть красивее обезьяны,stereotype,gender
девушка была глупой из за светлых волос,stereotype,gender
девушка везде носит с собой косметичку и маленькое розовое зеркальце,stereotype,gender
она взяла ипотеку на стиральную машину,stereotype,gender
омоновец избивает человека дубинкой на митинге,stereotype,profession
"ой, какая ты лесбиянка, голову мне не морочь, это просто возраст такой",stereotype,lgbtq
одни молдаване плитку кладут,stereotype,nationality
одна партнерша в лесбийских отношениях обязательно занимает роль мужчины,stereotype,lgbtq
одет как бомж,stereotype,profession
"одевается, как нищеброд",stereotype,profession
мама водит двух детей в садик,stereotype,gender
обычно художник очень наблюдательный человек,stereotype,profession
обычно программисты довольно умные люди,stereotype,profession
"обычно люди, делающие бизнес предприимчивые, ответственные и смелые",stereotype,profession
обычно журналисты приветливые и дружелюбные,stereotype,profession
нищими бывают только неблагополучные семьи,stereotype,profession
"нищий, что с него взять",stereotype,profession
нищий богатого не поймет,stereotype,profession
"нищие остаются такими, потому что не хотят встать с жопы и начать зарабатывать деньги",stereotype,profession
нищие черные становятся генгста,stereotype,nationality
"нищие люди такие, потому что не хотят развиваться",stereotype,profession
нищие люди просто ленивые,stereotype,profession
нищие достали просить деньги на вокзале,stereotype,profession
нищета плодит одну нищету,stereotype,profession
нищета говорит о лени,stereotype,profession
нищеброды бедны,stereotype,profession
никто лучше евреев не играет на скрипке,stereotype,nationality
никакой он не гей просто девушки не дают,stereotype,lgbtq
"никакая она не лесбиянка, у нее волосы длинные",stereotype,lgbtq
"никакая она не лесбиянка, с возрастом пройдет",stereotype,lgbtq
"нечего им рожать, шпану плодить только",stereotype,profession
"неудивительно, что мой клиент просит бесплатную услугу, ведь он еврей",stereotype,nationality
мама воспитывает двух детей,stereotype,gender
немцы очень жадные,stereotype,nationality
"нельзя родиться геем, можно разочароваться в женщинах",stereotype,lgbtq
некрасиво ходить в старой одежде,stereotype,profession
"небинарных не существует, это просто люди, которые хотят привлечь к себе внимание",stereotype,lgbtq
"небинарных людей не существует, это то же самое, что сказать, что ты боевой вертолет",stereotype,lgbtq
"небинарных людей не существует, это выдумка академических и культурных элит",stereotype,lgbtq
небинарные хотят внимания,stereotype,lgbtq
небинарные просто неопределившиеся подростки,stereotype,lgbtq
небинарные люди просто хотят быть не такими как все и привлечь к себе внимание,stereotype,lgbtq
небинарные люди просто не определились какого они пола,stereotype,lgbtq
небинарные люди просто не могут определиться,stereotype,lgbtq
небинарные люди отрицают свой истинный пол,stereotype,lgbtq
"небинарные люди неопределившиеся люди, они запутались",stereotype,lgbtq
"не хочу общаться с ними, потому что они нищие",stereotype,profession
"не хочу нанимать узбеков на работу, они все делают тяп ляп",stereotype,nationality
"не хочу деньги лишние тратить, во мне еврей взыграл",stereotype,nationality
не хочешь делиться еврей что ли,stereotype,nationality
не плодите нищету,stereotype,profession
"не одевайся, как бомж",stereotype,profession
мама воспитывает детей,stereotype,gender
"не жадничай, ты что еврей",stereotype,nationality
"не будешь учиться, станешь дворником",stereotype,profession
"не будешь учиться, дворником станешь",stereotype,profession
не бери в долг у еврея,stereotype,nationality
"начитаются интернета, а потом решают, что они трансгендеры или еще кто",stereotype,lgbtq
начальники мало заботятся о комфорте сотрудников,stereotype,profession
женщина все свое время посвещает семье,stereotype,gender
"надо рожать хотя бы трое, иначе тут одни таджики будут жить",stereotype,nationality
надо заткнуть своего внутреннего еврея и купить новую обувь,stereotype,nationality
на рынке торгуют одни узбеки,stereotype,nationality
на китайском рынке один ширпотреб,stereotype,nationality
мы же понимаем евреи очень хитрый народ,stereotype,nationality
мама все силы тратит на детей,stereotype,gender
девушка всегда накрашена и на каблуках,stereotype,gender
девушка всего добилась через постель,stereotype,gender
"девушка вставала каждое утро раньше него, чтобы нанести макияж",stereotype,gender
женщина готовит еду на всю семью,stereotype,gender
женщина готовит ужин для семьи,stereotype,gender
женщина гуляет с малышом в коляске и весело болтает с подружками,stereotype,gender
женщина днями обсуждает свое чадо на женских форумах,stereotype,gender
женщина добилась успеха только через постель босса,stereotype,gender
девушка должна брить свое тело,stereotype,gender
женщина должна быть за мужем,stereotype,gender
девушка должна быть красивой и соответствовать всем стандартам красоты,stereotype,gender
"девушка должна быть красивой, как на обложке журнала",stereotype,gender
женщина должна быть податливой,stereotype,gender
девушка должна быть послушной,stereotype,gender
женщина должна быть украшением коллектива,stereotype,gender
"женщина должна быть услужливый, терпеливой и скромной",stereotype,gender
женщина должна быть хозяйственной,stereotype,gender
женщина должна варить борщи,stereotype,gender
девушка должна вкусно готовить,stereotype,gender
девушка должна всегда быть красивой,stereotype,gender
женщина должна всегда выглядеть привлекательно для него,stereotype,gender
женщина должна всегда выглядеть ухоженной,stereotype,gender
женщина должна выглядеть идеально и быть слабой,stereotype,gender
женщина должна готовить еду,stereotype,gender
женщина должна готовить еду каждый день,stereotype,gender
"женщина должна каждый день готовить вкусный ужин, и никакого разогретого на второй день",stereotype,gender
женщина должна мыть посуду,stereotype,gender
девушка должна носить каблуки,stereotype,gender
женщина должна одеваться скромнее,stereotype,gender
женщина должна рожать детей и готовить борщи,stereotype,gender
женщина должна сидеть дома и следить за ребенком,stereotype,gender
женщина должна следить за домом,stereotype,gender
женщина должна следить за ребенком,stereotype,gender
женщина должна следить за собой,stereotype,gender
"моя подруга во всем ищет выгоду, ведь она еврейка",stereotype,nationality
моя еврейская душа не позволяет тратить столько денег,stereotype,nationality
"мой бывший парень бросил меня ради денег, потому что в его роду были евреи",stereotype,nationality
женщина должна слушаться мужа,stereotype,gender
мое еврейское чутье подсказывает что на этом можно заработать,stereotype,nationality
"милиционер смелый, отважный и честный",stereotype,profession
женщина должна убирать весь дом и готовить борщ,stereotype,gender
женщина должна убирать дом пока муж на работе,stereotype,gender
женщина должна уметь хорошо готовить,stereotype,gender
женщина должна ухаживать за собой и всегда радовать глаз,stereotype,gender
маркетологи отличаются креативностью,stereotype,profession
женщина должна ухаживать за собой и краситься,stereotype,gender
женщина должна хорошей хозяйкой,stereotype,gender
женщина должна хорошо готовить и заниматься бытом,stereotype,gender
женщина должны быть покорной,stereotype,gender
"она дура не потому что дура, а потому что женщина",stereotype,gender
"женщина же яжемать, все о своем дите и говорит",stereotype,gender
женщина занимается домашним хозяйством,stereotype,gender
женщина занимается домашними делами и воспитывает детей,stereotype,gender
маляр не обязательно должен уметь рисовать,stereotype,profession
люди являются нищими из за своей глупости,stereotype,profession
люди с низкой зарплатой на всем экономят,stereotype,profession
люди с низкими зарплатами это плохие родители,stereotype,profession
люди с заработком ниже среднего почти всегда не имеет даже среднего образования,stereotype,profession
"люди нищие, потому что работать не хотят",stereotype,profession
люди живут в нищите из за собственной лени,stereotype,profession
любой пожарный делает доброе дело,stereotype,profession
любой инженер самый умный и интересный собеседник,stereotype,profession
"лесбиянки это норм, но геи мерзость",stereotype,lgbtq
лесбиянки фригидные,stereotype,lgbtq
лесбиянки страшненькие,stereotype,lgbtq
лесбиянки просто ненавидят мужчин,stereotype,lgbtq
лесбиянки жирные,stereotype,lgbtq
"лесбиянки бывают только мужеподобными, не женственными",stereotype,lgbtq
лесбиянками становятся страшные бабы,stereotype,lgbtq
"лесбиянками объявляют себя только страшные жирухи, которых никто не хочет, поэтому они ищут хоть какой то секс среди таких же, как они",stereotype,lgbtq
лесбиянкам надо бы лечиться,stereotype,lgbtq
"лесбийство это просто подростковое баловство, перерастет",stereotype,lgbtq
"конкретно мне, с детства рассказывали и представляли германию, как враг россии, что теперь у меня она не ассоциируется с чем то хорошим",stereotype,nationality
когда украинец родился еврей заплакал,stereotype,nationality
китайцы хотят отупить всех русских своими глупыми подделками на бренды,stereotype,nationality
китайцы скоро нас выселят,stereotype,nationality
"китайцы заполнили мир, их так много что у себя не вмещаются и лезут в другие страны",stereotype,nationality
китайцы грязные,stereotype,nationality
киргизы отбирают работу у российских граждан,stereotype,nationality
капитан самолета обладает отличным зрением,stereotype,profession
канада сеет в мире чуждый россии либерализм,stereotype,nationality
"какая ты бисексуалка, если встречаешься с парнем",stereotype,lgbtq
"какая она лесбиянка, у нее был парень в 6 классе",stereotype,lgbtq
"как правило, люди с маленькой зарплатой жадные",stereotype,profession
как можно одеваться на рынке,stereotype,profession
"как люди могут жить в таком старом доме без ремонта, это показывает их нищиту",stereotype,profession
девушка каждый день ходит в салон красоты,stereotype,gender
как же грязно в бедных кварталах,stereotype,profession
"как гнали китайцев с границы, как вши разбегались",stereotype,nationality
каждый копирайтер немного аналитик,stereotype,profession
"каждый дагестанец с детства носит с собой ножик, чтобы использовать его, когда он обидится",stereotype,nationality
кавказцы только дерутся,stereotype,nationality
кавказцы захватили многие сферы бизнеса в москве,stereotype,nationality
"интерсекс люди, у которых не все в порядке с головой, считают что полов больше двух",stereotype,lgbtq
инженеры обладают острым складом ума,stereotype,profession
инженер это очень интересная профессия,stereotype,profession
инженер с легкостью читает чертежи,stereotype,profession
инженер работа для умных,stereotype,profession
"инженер безопасник, как правило, разбирается во многих областях",stereotype,profession
иметь много детей плодить нищету,stereotype,profession
из за таджиков скоро не останется рабочих мест для наших соотечественников,stereotype,nationality
зачем рожать троих детей в такой нищете,stereotype,profession
"зачем покупать такую дорогую одежду, если нет денег",stereotype,profession
"зачем она коротко постриглась она что, лесбиянка",stereotype,lgbtq
за всем этим стоит кучка богатых евреев,stereotype,nationality
журналист должен уметь общаться с людьми,stereotype,profession
жил нищим да и умер нищим,stereotype,profession
женщина любит наряжаться и прихорашиваться,stereotype,gender
девушка может весь вечер плакать из за сломанного ногтя,stereotype,gender
"женщина не может бросить своих детей, она их мать",stereotype,gender
"женщина не может путешествовать, потому что не может оставить ребенка",stereotype,gender
девушка не может увлекаться техническими науками это противоестественно,stereotype,gender
девушка не умеет мыслить логически,stereotype,gender
женщина не умеет нормально парковаться,stereotype,gender
женщина не умеет работать,stereotype,gender
"женщина не ходит развлекаться, потому что у нее ребенок",stereotype,gender
женщина обожает шопинг,stereotype,gender
женщина обязана быть покорной,stereotype,gender
женщина обязана любить детей,stereotype,gender
женщина обязана не иметь уважение к себе,stereotype,gender
женщина обязана ухаживать за собой,stereotype,gender
женщина обязана ходить в необлегающей и скрытой одежде,stereotype,gender
женщина очень любит прихорашиваться и не выходит на улицу без макияжа,stereotype,gender
женщина очень рада создать семью и завести детей,stereotype,gender
женщина очень устает сидя дома с детьми,stereotype,gender
женщина получила повышение только потому что переспала с начальником,stereotype,gender
женщина получила повышение через постель,stereotype,gender
"женщина получила повышение, потому что спит с директором",stereotype,gender
женщина получила эту работу только из за своей внешности,stereotype,gender
женщина посвятила свою жизнь детям,stereotype,gender
женщина постоянно сидит с детьми,stereotype,gender
"женщина поступила в университет, чтобы найти мужа",stereotype,gender
женщина потрясающая мать,stereotype,gender
женщина проводит много времени в салонах красоты,stereotype,gender
женщина проводит много времени со своими детьми,stereotype,gender
женщина пытается привлечь к себе внимание открытой одеждой,stereotype,gender
женщина разговаривает только о своем ребенке,stereotype,gender
"еще одна стройка, скоро вокруг одни таджики останутся",stereotype,nationality
"если человек хитрый, значит он еврей, евреи везде",stereotype,nationality
"если человек беден, то он либо ленив, либо глуп",stereotype,profession
"если ты такой умный, то почему тогда ты такой бедный",stereotype,profession
"если ты мало зарабатываешь, значит ты ленивый и у тебя нет ни к чему способностей",stereotype,profession
"если с кавказцем будешь встречаться, на порог не пущу",stereotype,nationality
"если он нищеброд, то ничего из себя не представляет",stereotype,profession
"если один еврей попал на хорошую работу, он притянет туда всех своих родственников",stereotype,nationality
"если не будешь учиться, будешь нищим",stereotype,profession
"если еврей оставит чаевые, вселенная схлопнется",stereotype,nationality
"если еврей значит жадный, хитрый и подлый",stereotype,nationality
"если дать волю, все станут трансами",stereotype,lgbtq
"если в ларьке с арбузами стоит узбек, то он продавец, а не покупатель",stereotype,nationality
"если в кране нет воды, значит выпили евреи",stereotype,nationality
"если бы тебя отец нормально воспитывал, то геем бы не вырос",stereotype,lgbtq
"женщина сама виновата, потому что оделась вызывающе",stereotype,gender
европейцы уничтожают традиционные семейные ценности,stereotype,nationality
евреям нравится ощущать себя исключительной нацией,stereotype,nationality
еврейская мать сама подбирает невесту своему сыну,stereotype,nationality
"еврей чахнет над своими богатствами, надеясь, что сможет унести их с собой в могилу",stereotype,nationality
"еврей никогда не пойдет на сделку, которая была бы ему невыгодна",stereotype,nationality
"еврей не потратит лишней копейки, если это не инвестиция",stereotype,nationality
еврей нашел на улице чужой кошелек и подумал не хватает,stereotype,nationality
евреи хорошие коммерсанты,stereotype,nationality
евреи хитрые и всегда думают только о личной выгоде,stereotype,nationality
евреи хитры и изворотливы,stereotype,nationality
"евреи только и думают о том, как заработать денег и на чем нибудь наживиться",stereotype,nationality
евреи скупы,stereotype,nationality
евреи сделают что угодно ради денег,stereotype,nationality
евреи самая умная нация,stereotype,nationality
евреи продвигают друг друга по работе,stereotype,nationality
"евреи прижимистые, на грани жадности",stereotype,nationality
евреи очень хитрые и ленивые,stereotype,nationality
евреи очень жадные,stereotype,nationality
евреи не любят физический труд,stereotype,nationality
евреи любят деньги,stereotype,nationality
евреи захватили мир,stereotype,nationality
евреи жадные,stereotype,nationality
евреи всегда ищут свою выгоду,stereotype,nationality
евреи всегда богаты,stereotype,nationality
евреи все жадные,stereotype,nationality
"женщина сама ничего не добилась, так и ребенку решила жизнь испортить",stereotype,gender
женщина сама провоцирует своей одеждой,stereotype,gender
"достигнуть управляющей должности любого рода проще, если ты еврей",stereotype,nationality
достали эти геи со своей пропагандой,stereotype,lgbtq
для того чтобы стать космонавтом нужно иметь идеальное здоровье,stereotype,profession
для работы воспитателем нужно понимать детей,stereotype,profession
для работа переводчиком требуется превосходное знание иностранных языков и своего родного,stereotype,profession
для плохих дизайнеров есть отдельный котел в аду,stereotype,profession
женщина сидит дома и воспитывает детей,stereotype,gender
директор имеет стратегическое видение будущего,stereotype,profession
директор важная должность,stereotype,profession
депутаты знают законы,stereotype,profession
"женщина слишком ленивая, поэтому вместо того, чтобы пойти работать, постоянно сидит в декретах",stereotype,gender
"женщина слишком много говорит о детях, как будто у нее других интересов нет",stereotype,gender
"она слишком сильная, для женщины",stereotype,gender
дагестанцы и чеченцы бьют женщин,stereotype,nationality
дагестанцы все вопросы решают резней,stereotype,nationality
"да эти таджики все такси позаполоняли, ездить с ними страшно, а их никуда не берут больше понаехали здесь",stereotype,nationality
"да не лесбиянка она, перебесится и пройдет",stereotype,lgbtq
гомосексуальным парам нельзя давать детей потому что они будут с детства воспитаны неправильно и станут гомосексуалистами,stereotype,lgbtq
гомосексуальные пары не могут воспитать психически здорового ребенка,stereotype,lgbtq
гомосексуальность это болезнь,stereotype,lgbtq
гомосексуалы совращают наших детей,stereotype,lgbtq
гомосексуалисты больные люди,stereotype,lgbtq
голливудские актеры хорошо зарабатывают,stereotype,profession
главному бухгалтеру необходима внимательность и аналитический склад ума,stereotype,lgbtq
геями становятся из за западной пропаганды,stereotype,lgbtq
генеральный директор очень занятой человек,stereotype,profession
геи своим существованием совращают всех детей,stereotype,lgbtq
геи просто должны сходить к психологу,stereotype,lgbtq
геи пристают ко всем мужчинам,stereotype,lgbtq
геи показывают свои отношения и заставляют становиться такими же как они,stereotype,lgbtq
геи ничего не понимают в хорошей музыке,stereotype,lgbtq
геи не должны демонстрировать свои отношения прилюдно,stereotype,lgbtq
геи выглядят очень женственно,stereotype,lgbtq
"геи аппендицит человечества, высасывают энергию из нормальных людей",stereotype,lgbtq
"выходи замуж за еврея, они хорошие семьянины",stereotype,nationality
выглядит как нищенка,stereotype,profession
вы лесбиянки может я присоединюсь,stereotype,lgbtq
"вы же лесбиянки, кто в вашей паре за мужика",stereotype,lgbtq
встретишь нормального парня и перестанешь быть лесбиянкой,stereotype,lgbtq
всех евреев жаба душит за лишнюю копейку,stereotype,nationality
"женщина совсем не умеет водить машину, понятно почему",stereotype,gender
"все, кто без айфона неудачники",stereotype,profession
все японцы едят рис,stereotype,nationality
все эти таджики с готовностью работать за копейки сбивают планку зарплаты,stereotype,nationality
все эстонцы тугодумы,stereotype,nationality
все эстонцы тормозные,stereotype,nationality
все эстонцы очень медлительны,stereotype,nationality
все эстонцы медлительные,stereotype,nationality
все эстонцы медленные,stereotype,nationality
все экономисты с головой в кредитах,stereotype,profession
все эйчары надменные сволочи,stereotype,profession
все чиновники снимают проституток и имеют любовниц,stereotype,profession
все чеченцы гомофобы,stereotype,nationality
все черные плохо осваивают математику,stereotype,nationality
все черные бандиты,stereotype,nationality
все цыгане невоспитанные попрошайки,stereotype,nationality
все цыгане мошенники,stereotype,nationality
все цыгане воры,stereotype,nationality
все учителя очень предвзято оценивают детей,stereotype,profession
все учителя любят детей,stereotype,profession
все ученые евреи,stereotype,nationality
все ухоженные мужики геи,stereotype,lgbtq
все украинцы фашисты и наркоманы,stereotype,nationality
все украинцы салоеды,stereotype,nationality
все украинцы русские все украинцы салоеды,stereotype,nationality
все украинцы русофобы,stereotype,nationality
все украинцы неонацисты,stereotype,nationality
все украинцы ненавидят русских,stereotype,nationality
все украинцы ненавидят россию,stereotype,nationality
все украинцы нацисты,stereotype,nationality
все украинцы любят сало,stereotype,nationality
все украинцы бандеры,stereotype,nationality
все узбеки умеют готовить плов,stereotype,nationality
все узбеки покупают дешевую еду,stereotype,nationality
все узбеки неграмотные,stereotype,nationality
все узбеки наркоманы,stereotype,nationality
все узбеки на одно лицо,stereotype,nationality
все узбеки гастарбайтеры,stereotype,nationality
все турки пристают к русским женщинам,stereotype,nationality
все тувинцы замкнуты и агрессивны,stereotype,nationality
"все тренеры тупые, кроме качалки ничего не умеют",stereotype,profession
"все трансы в детстве были травмированы родителями, им нужен терапевт",stereotype,lgbtq
все трансженщины воспроизводят гендерные стереотипы,stereotype,lgbtq
все трансгендеры психически больные,stereotype,lgbtq
все трансгендеры несчастны,stereotype,lgbtq
все трансгендеры кроссдрессеры,stereotype,lgbtq
все трансгендеры выдумывали свое состояние,stereotype,lgbtq
все трансгендеры больные люди,stereotype,lgbtq
все трансгендерные персоны это люди с больной психикой,stereotype,lgbtq
"все трансгендерные персоны страдают от депрессии, потому что нарциссы",stereotype,lgbtq
все трансгендерные персоны просто извращенцы,stereotype,lgbtq
все трансгендерные персоны извращенцы,stereotype,lgbtq
все трансгендерные люди извращенцы,stereotype,lgbtq
все трансгендерные люди душевнобольные,stereotype,lgbtq
все трансгендерные люди анархистские радикалы,stereotype,lgbtq
все татары хитрые,stereotype,nationality
все таксисты теперь грузины,stereotype,nationality
все таджики таксисты не умеют водить,stereotype,nationality
все таджики работают на рынке,stereotype,nationality
все таджики понаехавшие,stereotype,nationality
все таджики очень нечистоплотные,stereotype,nationality
все таджики опасные,stereotype,nationality
все таджики нечистоплотные,stereotype,nationality
все таджики необразованные,stereotype,nationality
все таджики насильники и правонарушители,stereotype,nationality
"все таджики наглые, некультурные, ведут себя как хозяева, не уважают коренное население",stereotype,nationality
"все таджики навязчивые, волосатые и злые",stereotype,nationality
все таджики дворники,stereotype,nationality
все таджики годны только для работы на стройке,stereotype,nationality
все таджики безграмотные,stereotype,nationality
все таджики бедные,stereotype,nationality
все строители необразованные,stereotype,profession
"все себе заберет, типичный еврей",stereotype,nationality
все русские хамовитые и пьющие,stereotype,nationality
все русские пьяницы,stereotype,nationality
все русские пьют водку,stereotype,nationality
все русские нацизм,stereotype,nationality
все русские наглые,stereotype,nationality
"все русские много пьют, хамят, не толерантны, шумные",stereotype,nationality
все русские любят путина,stereotype,nationality
все русские ленивые алкоголики,stereotype,nationality
все русские ленивые,stereotype,nationality
все русские злоупотребляют алкоголем,stereotype,nationality
все русские алкоголики,stereotype,nationality
"все русские алкаши, хмурые, бедные, подавляемые, пассивные",stereotype,nationality
все русские алкаши,stereotype,nationality
все руководители строгие и часто делают замечания и выговоры,stereotype,profession
все программисты умные,stereotype,profession
все проблемы из за евреев,stereotype,nationality
все преподаватели требовательны,stereotype,profession
все предприниматели щедрые,stereotype,profession
все предприниматели умны,stereotype,profession
все предприниматели предприимчивые,stereotype,profession
все поляки хотят захватить российские города,stereotype,nationality
все поляки ненавидят россию,stereotype,nationality
"все пары лесбиянок состоят из сильной девушки и слабой девушки, имитируя гетеро отношения",stereotype,lgbtq
все олигархи счастливы,stereotype,profession
все олигархи евреи,stereotype,nationality
все нищие спиваются,stereotype,profession
все нищие просто лентяи,stereotype,profession
все нищие плохо учились в школе,stereotype,profession
все нищие неудачники,stereotype,profession
все нищие неприятные и грязные,stereotype,profession
все нищие люди редко моются,stereotype,profession
все нищие лентяи,stereotype,profession
все нищие ленивые и неграмотные,stereotype,profession
все нищие колхозники,stereotype,profession
все нищие готовы украсть чужое,stereotype,profession
все нищие воняют,stereotype,profession
"все нищие бомжи, алкаши и наркоманы",stereotype,profession
все немцы строгие,stereotype,nationality
все немцы пьют пиво каждый день,stereotype,nationality
все немцы очень пунктуальные и дотошные,stereotype,nationality
все небинарные люди обязательно выглядят андрогинно,stereotype,lgbtq
все небинарные заигравшиеся ролевики,stereotype,lgbtq
девочка точно любит розовый цвет,stereotype,gender
женщина точно получила эту должность через постель,stereotype,gender
женщина тратит все деньги на шмотки,stereotype,gender
все молдаване умеют только ремонт делать,stereotype,nationality
все миллионеры энергичны,stereotype,profession
"все миллионеры много трудились, чтобы заработать свои деньги",stereotype,profession
все миллионеры любят икру,stereotype,profession
все миллионеры имеют хорошие условия для жизни,stereotype,profession
женщина требует только денег,stereotype,gender
женщина у нас мать одиночка,stereotype,gender
все малоимущие ленивые алкоголики,stereotype,profession
все люди с низкой зарплатой недолюбливают богатых людей,stereotype,profession
все люди с низким доходом страдают от алкоголизма,stereotype,profession
все люди с высокой зарплатой делают щедрые пожертвования,stereotype,profession
"все люди от рождения бисексуальны, по мере взросления тебе просто нужно выбрать правильную сторону",stereotype,lgbtq
все люди без достатка недостаточно стараются его приобрести,stereotype,profession
все лесбиянки хотят третьего в постели,stereotype,lgbtq
все лесбиянки фригидные,stereotype,lgbtq
все лесбиянки трансофобки,stereotype,lgbtq
все лесбиянки страшные,stereotype,lgbtq
все лесбиянки странные,stereotype,lgbtq
все лесбиянки пьют,stereotype,lgbtq
"все лесбиянки просто страшные, ни один мужик их не выберет",stereotype,lgbtq
все лесбиянки просто не встретили еще подходящего мужчину,stereotype,lgbtq
все лесбиянки похожи на мужчин,stereotype,lgbtq
все лесбиянки обижены на мужчин,stereotype,lgbtq
все лесбиянки носят короткие стрижки,stereotype,lgbtq
все лесбиянки неухоженные,stereotype,lgbtq
все лесбиянки ненавидят мужчин,stereotype,lgbtq
все лесбиянки ненавидят мужиков,stereotype,lgbtq
все лесбиянки некрасивые,stereotype,lgbtq
все лесбиянки не заботятся о своей внешности,stereotype,lgbtq
все лесбиянки мужички,stereotype,lgbtq
все лесбиянки мужеподобные мужененавистиницы,stereotype,lgbtq
все лесбиянки мужеподобные,stereotype,lgbtq
все лесбиянки мужеподобны,stereotype,lgbtq
все лесбиянки короткостриженные и мужеподобные,stereotype,lgbtq
все лесбиянки короткостриженные,stereotype,lgbtq
все лесбиянки истерички и не могут иметь нормальные отношения,stereotype,lgbtq
все лесбиянки извращенки,stereotype,lgbtq
все лесбиняки страшные,stereotype,lgbtq
все кухарки глупы,stereotype,profession
все корейцы жрут собак,stereotype,nationality
все корейцы едят собак,stereotype,nationality
все китайцы шумные,stereotype,nationality
все китайцы только и ждут оттяпять сибирь,stereotype,nationality
все квиры извращенцы,stereotype,lgbtq
все квир люди думают только о себе,stereotype,lgbtq
все казахи едят коней,stereotype,nationality
все кавказцы поголовно дикари,stereotype,nationality
все кавказцы необразованные,stereotype,nationality
"все кавказцы дикие обезьяны, спустившиеся с гор, сеющие свои устои в чужом обществе и учиняющие беспорядки, основанные на национальной вражде",stereotype,nationality
все итальянцы непунктуальные и эмоциональные люди,stereotype,nationality
все израильтяне жадные,stereotype,nationality
все известные музыканты евреи,stereotype,nationality
все звезды кино очень красивые,stereotype,profession
женщина хочет только успешно выйти замуж,stereotype,gender
"женщина часами крутилась у зеркала потому, что боялась оказаться не самой красивой в компании",stereotype,gender
женщина явно будет лучше заботиться о ребенке,stereotype,gender
пилоты женщины хуже справляются с управлением самолета,stereotype,gender
"по словам работников, она получила должность за красивые глаза",stereotype,gender
подруги всегда сплетничают друг у друга за спиной,stereotype,gender
после рождения сына женщина совершенно перестала следить за собой,stereotype,gender
"природой придумано, что женщина должна заниматься семьей",stereotype,gender
путь к сердцу мужчины лежит через желудок,stereotype,gender
"работодатель рискует, нанимая молодую женщину, ведь она может уйти в декрет",stereotype,gender
редко встретишь девушку программиста,stereotype,gender
розовое для девочек,stereotype,gender
с детьми женщина совсем забыла про себя,stereotype,gender
все евреи хотят тебя обмануть и заработать,stereotype,nationality
все евреи хотят погубить россию,stereotype,nationality
все евреи хитрые и скупые,stereotype,nationality
все евреи хитрые и подлые,stereotype,nationality
все евреи хитрые и им нельзя доверять,stereotype,nationality
все евреи хитрые и жадные,stereotype,nationality
все евреи хитрые,stereotype,nationality
все евреи скупые и расчетливые,stereotype,nationality
все евреи скупые,stereotype,nationality
все евреи прирожденные юристы,stereotype,nationality
все евреи подвергались гонениям,stereotype,nationality
"все евреи очень хитрые и, как правило, хорошие адвокаты, когда им достаточно платят",stereotype,nationality
все евреи очень жадные,stereotype,nationality
все евреи очень бережливые в плане денег,stereotype,nationality
